,SalesOrderCreationDate,OrderQuantity,PlantKey,CustomerKey,MaterialKey,RequestedDeliveryDate,DeliveryDate,HighOrderQtyFlag,Delay,Season,CustomerCountry,CustomerName
27874,2022-01-01,20,6,875,1,2022-01-28,2022-02-02,0,5,Winter2021,Portugal,Kuvalis-Cruickshank
17447,2022-01-01,14,4,393,1,2022-02-08,2022-02-18,0,10,Winter2021,Germany,"Hauck, Kovacek and Schuster"
7660,2022-01-01,18,5,1059,1,2022-02-07,2022-02-11,0,4,Winter2021,Poland,Volkman-Abbott
17477,2022-01-01,23,6,926,1,2022-02-14,2022-02-18,0,4,Winter2021,Spain,Reichel Group
56706,2022-01-01,19,6,729,1,2022-01-21,2022-01-31,0,10,Winter2021,Italy,Daugherty-Harris
42380,2022-01-01,16,6,949,2,2022-01-21,2022-02-02,0,12,Winter2021,Portugal,Lebsack-Ondricka
75677,2022-01-01,21,5,1040,1,2022-01-28,2022-02-01,0,4,Winter2021,Poland,"Hauck, Nicolas and Bauch"
71996,2022-01-01,15,5,1015,2,2022-01-31,2022-02-01,0,1,Winter2021,Poland,"O'Reilly, Tillman and Bayer"
14901,2022-01-01,16,8,954,2,2022-01-19,2022-01-21,0,2,Winter2021,Sweden,"Ernser, Abshire and Grant"
1577,2022-01-01,17,5,1168,1,2022-01-26,2022-01-28,0,2,Winter2021,Greece,"Tremblay, Gusikowski and Morissette"
8870,2022-01-01,18,5,759,1,2022-01-25,2022-02-08,0,14,Winter2021,Czech Republic,Boyer LLC
93905,2022-01-01,20,6,586,2,2022-01-21,2022-01-26,0,5,Winter2021,France,"Pfannerstill, Blanda and Prohaska"
23708,2022-01-01,17,6,1085,1,2022-01-31,2022-02-02,0,2,Winter2021,France,MacGyver-Lockman
59229,2022-01-01,11,6,507,1,2022-02-11,2022-02-23,0,12,Winter2021,Croatia,"Fay, Senger and Rau"
82995,2022-01-01,18,6,1193,2,2022-01-24,2022-02-01,0,8,Winter2021,Portugal,Bogisich and Sons
34243,2022-01-01,14,4,302,1,2022-02-01,2022-02-04,0,3,Winter2021,Germany,"Tillman, Smitham and Lesch"
33074,2022-01-01,16,8,527,1,2022-02-22,2022-02-23,0,1,Winter2021,Sweden,"Johns, Wilderman and Abernathy"
26103,2022-01-01,14,4,485,2,2022-02-07,2022-02-09,0,2,Winter2021,Germany,Towne Group
99474,2022-01-01,16,8,956,1,2022-01-26,2022-01-27,0,1,Winter2021,Finland,Brekke LLC
1875,2022-01-01,20,4,321,1,2022-02-10,2022-02-17,0,7,Winter2021,Belgium,Predovic-Leuschke
43609,2022-01-01,19,6,544,1,2022-01-21,2022-01-31,0,10,Winter2021,France,"Crona, Bernier and Breitenberg"
15609,2022-01-02,19,5,1033,1,2022-01-28,2022-02-04,0,7,Winter2021,Poland,Graham-Upton
80406,2022-01-02,15,4,309,1,2022-01-03,2022-01-17,0,14,Winter2021,Belgium,Buckridge and Sons
3834,2022-01-02,14,4,126,2,2022-02-10,2022-02-21,0,11,Winter2021,Germany,Fahey and Sons
47586,2022-01-02,18,4,123,1,2022-02-18,2022-03-02,0,12,Winter2021,Germany,Wuckert-Cormier
40392,2022-01-02,18,5,1147,1,2022-01-28,2022-02-07,0,10,Winter2021,Greece,Powlowski Group
12386,2022-01-02,18,4,364,1,2022-02-03,2022-02-11,0,8,Winter2021,Germany,"Hane, Lynch and Yundt"
87543,2022-01-02,20,6,855,1,2022-01-03,2022-01-04,0,1,Winter2021,France,"Raynor, Johnson and Collier"
72666,2022-01-02,7,5,569,1,2022-01-12,2022-01-18,0,6,Winter2021,Poland,Farrell Group
