,SalesOrderCreationDate,OrderQuantity,PlantKey,CustomerKey,MaterialKey,RequestedDeliveryDate,DeliveryDate,HighOrderQtyFlag,Delay,Season
27874,2022-01-01,20,6,875,1,2022-01-28,2022-02-02,0,5,Winter2021
17447,2022-01-01,14,4,393,1,2022-02-08,2022-02-18,0,10,Winter2021
7660,2022-01-01,18,5,1059,1,2022-02-07,2022-02-11,0,4,Winter2021
17477,2022-01-01,23,6,926,1,2022-02-14,2022-02-18,0,4,Winter2021
56706,2022-01-01,19,6,729,1,2022-01-21,2022-01-31,0,10,Winter2021
42380,2022-01-01,16,6,949,2,2022-01-21,2022-02-02,0,12,Winter2021
75677,2022-01-01,21,5,1040,1,2022-01-28,2022-02-01,0,4,Winter2021
71996,2022-01-01,15,5,1015,2,2022-01-31,2022-02-01,0,1,Winter2021
14901,2022-01-01,16,8,954,2,2022-01-19,2022-01-21,0,2,Winter2021
1577,2022-01-01,17,5,1168,1,2022-01-26,2022-01-28,0,2,Winter2021
8870,2022-01-01,18,5,759,1,2022-01-25,2022-02-08,0,14,Winter2021
93905,2022-01-01,20,6,586,2,2022-01-21,2022-01-26,0,5,Winter2021
23708,2022-01-01,17,6,1085,1,2022-01-31,2022-02-02,0,2,Winter2021
59229,2022-01-01,11,6,507,1,2022-02-11,2022-02-23,0,12,Winter2021
82995,2022-01-01,18,6,1193,2,2022-01-24,2022-02-01,0,8,Winter2021
34243,2022-01-01,14,4,302,1,2022-02-01,2022-02-04,0,3,Winter2021
33074,2022-01-01,16,8,527,1,2022-02-22,2022-02-23,0,1,Winter2021
26103,2022-01-01,14,4,485,2,2022-02-07,2022-02-09,0,2,Winter2021
99474,2022-01-01,16,8,956,1,2022-01-26,2022-01-27,0,1,Winter2021
1875,2022-01-01,20,4,321,1,2022-02-10,2022-02-17,0,7,Winter2021
43609,2022-01-01,19,6,544,1,2022-01-21,2022-01-31,0,10,Winter2021
15609,2022-01-02,19,5,1033,1,2022-01-28,2022-02-04,0,7,Winter2021
80406,2022-01-02,15,4,309,1,2022-01-03,2022-01-17,0,14,Winter2021
3834,2022-01-02,14,4,126,2,2022-02-10,2022-02-21,0,11,Winter2021
47586,2022-01-02,18,4,123,1,2022-02-18,2022-03-02,0,12,Winter2021
40392,2022-01-02,18,5,1147,1,2022-01-28,2022-02-07,0,10,Winter2021
12386,2022-01-02,18,4,364,1,2022-02-03,2022-02-11,0,8,Winter2021
87543,2022-01-02,20,6,855,1,2022-01-03,2022-01-04,0,1,Winter2021
72666,2022-01-02,7,5,569,1,2022-01-12,2022-01-18,0,6,Winter2021
34590,2022-01-02,21,8,1066,2,2022-01-28,2022-02-11,0,14,Winter2021
77607,2022-01-02,15,4,196,1,2022-02-22,2022-03-04,0,10,Winter2021
73319,2022-01-02,20,4,184,2,2022-02-09,2022-02-22,0,13,Winter2021
33573,2022-01-02,20,4,340,1,2022-01-19,2022-01-31,0,12,Winter2021
75379,2022-01-02,20,4,338,1,2022-01-31,2022-02-01,0,1,Winter2021
16659,2022-01-02,20,6,782,1,2022-01-31,2022-02-11,0,11,Winter2021
10142,2022-01-02,17,4,243,1,2022-01-25,2022-01-26,0,1,Winter2021
80424,2022-01-02,17,4,442,2,2022-02-14,2022-02-15,0,1,Winter2021
58136,2022-01-02,16,4,373,1,2022-01-25,2022-01-31,0,6,Winter2021
59414,2022-01-02,18,5,503,1,2022-01-20,2022-01-28,0,8,Winter2021
60273,2022-01-02,21,4,373,1,2022-02-09,2022-02-14,0,5,Winter2021
91314,2022-01-03,13,4,50,1,2022-01-28,2022-02-08,0,11,Winter2021
90530,2022-01-03,16,8,769,1,2022-01-31,2022-02-14,0,14,Winter2021
78771,2022-01-03,20,4,146,2,2022-02-02,2022-02-11,0,9,Winter2021
73487,2022-01-03,20,6,586,1,2022-02-03,2022-02-17,0,14,Winter2021
7424,2022-01-03,16,4,294,1,2022-01-20,2022-01-21,0,1,Winter2021
32923,2022-01-03,15,6,1107,2,2022-01-25,2022-02-01,0,7,Winter2021
79400,2022-01-03,15,5,741,1,2022-01-24,2022-02-03,0,10,Winter2021
83748,2022-01-03,20,6,715,1,2022-02-08,2022-02-14,0,6,Winter2021
74182,2022-01-03,21,4,351,2,2022-02-02,2022-02-11,0,9,Winter2021
88632,2022-01-03,15,6,774,1,2022-02-21,2022-03-04,0,11,Winter2021
56411,2022-01-03,19,6,1065,2,2022-01-19,2022-01-25,0,6,Winter2021
89262,2022-01-03,18,6,990,2,2022-02-07,2022-02-11,0,4,Winter2021
