PlantKey,Season,Delay
4,Autumn2022,689
4,Autumn2023,721
4,Autumn2024,654
4,Spring2022,715
4,Spring2023,713
4,Spring2024,658
4,Summer2022,700
4,Summer2023,704
4,Summer2024,726
4,Winter2021,616
4,Winter2022,701
4,Winter2023,688
4,Winter2024,71
5,Autumn2022,330
5,Autumn2023,296
5,Autumn2024,318
5,Spring2022,311
5,Spring2023,336
5,Spring2024,312
5,Summer2022,332
5,Summer2023,344
5,Summer2024,345
5,Winter2021,301
5,Winter2022,312
5,Winter2023,303
5,Winter2024,37
6,Autumn2022,373
6,Autumn2023,336
6,Autumn2024,356
6,Spring2022,362
6,Spring2023,389
6,Spring2024,370
6,Summer2022,381
6,Summer2023,385
6,Summer2024,392
6,Winter2021,335
6,Winter2022,394
6,Winter2023,419
6,Winter2024,37
7,Autumn2022,16
7,Autumn2023,8
7,Autumn2024,6
7,Spring2022,7
7,Spring2023,17
7,Spring2024,7
7,Summer2022,13
7,Summer2023,12
7,Summer2024,10
7,Winter2021,14
7,Winter2022,9
7,Winter2023,7
7,Winter2024,2
8,Autumn2022,288
8,Autumn2023,312
8,Autumn2024,287
8,Spring2022,301
8,Spring2023,337
8,Spring2024,317
8,Summer2022,325
8,Summer2023,300
8,Summer2024,309
8,Winter2021,256
8,Winter2022,271
8,Winter2023,282
8,Winter2024,40
